membership_id,person_id,role_id,party_id,coalition_id,contest_id,goes_for_coalition,membership_type,goes_for_reelection,start_date,end_date,is_substitute,parent_membership_id,changed_from_substitute,date_changed_from_substitute
65,65,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
66,66,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
67,67,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
68,68,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
69,69,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
70,70,1,3,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
71,71,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
72,72,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
73,73,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
74,74,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
75,75,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
76,76,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
77,77,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
78,78,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
79,79,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
80,80,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
81,81,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
82,82,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
83,83,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
84,84,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
85,85,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
86,86,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
87,87,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
88,88,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
89,89,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
90,90,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
91,91,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
92,92,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
93,93,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
94,94,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
95,95,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
96,96,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
97,97,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
98,98,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
99,99,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
100,100,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
101,101,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
102,102,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
