area_id,ocd_id,name,country,state,city,district_type,parent_area_id
36,ocd-division/country:mx/state:cm/fed:1,Diputación del Distrito Federal 1 de CAMPECHE,MX,CAM,"CAMPECHE, CALKINI, HECELCHAKAN, HOPELCHEN, TENABO, CALAKMUL, DZITBALCHE",2,-1,
37,ocd-division/country:mx/state:cm/fed:2,Diputación del Distrito Federal 2 de CAMPECHE,MX,CAM,"CARMEN, CHAMPOTON, PALIZADA, ESCARCEGA, CANDELARIA, SEYBAPLAYA",2,-1,
38,ocd-division/country:mx/state:co,Gubernatura de COAHUILA DE ZARAGOZA,MX,COA,,1,-1,
39,ocd-division/country:mx/state:co/city:30,Presidencia del municipio de SALTILLO,MX,COA,SALTILLO,3,-1,
40,ocd-division/country:mx/state:co/city:35,Presidencia del municipio de TORREÓN,MX,COA,TORREÓN,3,-1,
41,ocd-division/country:mx/state:co/fed:1,Diputación del Distrito Federal 1 de COAHUILA DE ZARAGOZA,MX,COA,"ACUÑA, JIMENEZ, MORELOS, NAVA, PIEDRAS NEGRAS, SAN JUAN DE SABINAS, ZARAGOZA",2,-1,
42,ocd-division/country:mx/state:co/fed:2,Diputación del Distrito Federal 2 de COAHUILA DE ZARAGOZA,MX,COA,"CASTAÑOS, CUATROCIENEGAS, FRANCISCO I. MADERO, LAMADRID, MUZQUIZ, NADADORES, OCAMPO, RAMOS ARIZPE, SACRAMENTO, SAN BUENAVENTURA, SAN PEDRO, SIERRA MOJADA",2,-1,
43,ocd-division/country:mx/state:co/fed:3,Diputación del Distrito Federal 3 de COAHUILA DE ZARAGOZA,MX,COA,"ABASOLO, ALLENDE, CANDELA, ESCOBEDO, FRONTERA, GUERRERO, HIDALGO, JUAREZ, MONCLOVA, PROGRESO, SABINAS, SAN JUAN DE SABINAS, VILLA UNION",2,-1,
44,ocd-division/country:mx/state:co/fed:4,Diputación del Distrito Federal 4 de COAHUILA DE ZARAGOZA,MX,COA,"ARTEAGA, SALTILLO",2,-1,
45,ocd-division/country:mx/state:co/fed:5,Diputación del Distrito Federal 5 de COAHUILA DE ZARAGOZA,MX,COA,TORREON,2,-1,
