person_profession_id,person_id,profession_id
458,226,31,
459,228,50,
460,228,19,
461,229,33,
462,230,50,
463,230,31,
464,231,50,
465,232,18,
466,232,25,
467,232,111,
468,233,51,
469,234,31,
470,235,28,
471,236,31,
472,236,50,
473,236,43,
474,237,67,
475,237,31,
476,238,43,
477,238,31,
478,242,50,
479,243,31,
480,244,43,
481,244,31,
482,245,43,
483,245,31,
484,246,43,
485,246,31,
486,247,41,
487,247,43,
488,248,30,
489,248,33,
490,248,10,
491,248,43,
492,249,41,
493,249,33,
494,249,43,
495,250,33,
496,250,43,
497,251,43,
498,251,41,
499,251,16,
500,252,43,
501,252,31,
502,252,34,
503,253,50,
504,253,35,
505,253,41,
506,254,50,
507,255,43,
508,255,8,
509,256,50,
510,256,16,
511,257,18,
512,258,50,
513,258,43,
514,258,35,
515,259,61,
516,260,33,
517,260,35,
518,261,50,
519,261,40,
520,261,41,
521,261,43,
522,262,31,
523,264,41,
524,265,73,
525,265,43,
526,265,31,
527,266,81,
528,266,31,
529,267,41,
530,267,31,
531,268,41,
532,268,43,
533,269,41,
534,270,16,
535,270,43,
536,271,45,
537,271,41,
538,271,33,
539,272,41,
540,272,10,
541,272,43,
542,272,31,
543,273,50,
544,273,10,
545,273,33,
546,274,47,
547,274,43,
548,274,33,
549,274,50,
550,275,50,
551,276,43,
552,277,19,
553,278,41,
554,278,45,
555,278,43,
556,279,33,
557,281,50,
558,281,43,
559,282,50,
560,282,43,
561,282,33,
562,283,50,
563,283,41,
564,283,10,
565,284,31,
566,284,41,
567,285,111,
568,286,50,
569,286,43,
570,286,10,
571,286,19,
572,286,33,
573,287,114,
574,287,50,
575,287,31,
576,288,43,
577,288,41,
578,288,31,
579,288,33,
580,289,40,
581,289,43,
582,289,31,
583,290,43,
584,291,41,
585,292,57,
586,292,43,
587,292,33,
588,293,41,
589,293,43,
590,294,16,
591,294,2,
592,294,41,
593,295,50,
594,295,43,
595,296,43,
596,297,2,
597,298,61,
598,300,50,
599,300,10,
600,301,104,
601,302,110,
602,302,50,
603,302,41,
604,303,10,
605,303,50,
606,303,43,
607,304,43,
608,304,41,
609,304,50,
610,305,50,
611,306,41,
612,306,43,
613,306,33,
614,307,29,
615,307,43,
616,307,31,
617,308,16,
618,308,42,
619,309,33,
620,310,50,
621,310,41,
622,311,41,
623,312,50,
624,313,29,
625,313,46,
626,313,16,
627,314,1,
628,314,41,
629,314,16,
630,314,31,
631,315,50,
632,315,10,
633,315,43,
634,315,111,
635,316,114,
636,316,43,
637,317,73,
638,317,35,
639,317,25,
640,317,31,
641,317,43,
642,318,73,
643,318,111,
644,318,31,
645,319,41,
646,319,43,
647,320,10,
648,320,40,
649,320,50,
650,320,43,
651,321,31,
652,322,43,
653,323,31,
654,324,31,
655,325,33,
656,325,43,
657,325,31,
658,326,40,
659,326,41,
660,326,10,
661,327,50,
662,327,31,
663,328,43,
664,328,31,
665,329,43,
666,330,50,
667,332,50,
668,332,10,
669,332,41,
670,333,50,
671,333,43,
672,333,41,
673,334,50,
674,334,40,
675,334,43,
676,335,50,
677,335,31,
678,335,60,
683,337,50,
684,337,43,
685,338,41,
686,339,43,
687,339,31,
688,340,43,
689,340,31,
690,341,61,
691,341,41,
692,341,43,
693,342,41,
694,342,43,
695,343,50,
696,343,43,
697,343,31,
698,344,81,
699,344,9,
700,344,31,
701,345,43,
702,345,10,
703,345,33,
704,346,41,
705,346,43,
706,346,79,
707,347,43,
708,347,16,
709,347,29,
710,347,31,
711,348,41,
712,348,43,
713,349,41,
714,350,50,
715,350,35,
716,351,43,
717,351,31,
718,352,49,
719,352,31,
720,353,41,
721,354,20,
722,354,31,
723,354,43,
724,355,74,
725,355,41,
726,355,43,
727,355,10,
728,357,31,
729,357,45,
730,357,33,
731,358,50,
732,358,42,
733,358,115,
734,359,50,
735,359,9,
736,359,31,
737,360,40,
738,360,50,
739,360,39,
740,361,33,
741,362,1,
742,363,25,
743,363,33,
744,363,31,
745,363,7,
746,363,1,
747,364,114,
748,364,41,
749,364,38,
750,364,42,
751,365,104,
752,365,43,
753,365,33,
754,365,109,
755,366,19,
756,366,33,
757,366,41,
758,366,9,
759,367,50,
760,367,10,
761,367,43,
762,367,31,
763,368,104,
764,368,33,
765,369,43,
766,369,31,
767,370,29,
768,370,33,
769,370,9,
770,371,35,
771,371,33,
772,372,50,
773,372,31,
774,372,43,
775,373,30,
776,373,31,
777,374,79,
778,374,43,
779,374,31,
780,375,41,
781,376,33,
782,376,43,
783,377,33,
784,378,43,
785,379,23,
786,380,41,
787,380,108,
788,380,33,
789,380,23,
790,381,50,
791,381,31,
792,381,43,
793,381,9,
794,381,10,
795,382,50,
796,382,43,
797,382,31,
798,383,31,
799,383,43,
800,383,35,
801,384,50,
802,384,43,
803,384,41,
804,385,104,
805,385,9,
806,385,43,
807,386,31,
808,386,43,
809,387,40,
810,387,43,
811,388,31,
812,389,40,
813,389,33,
814,389,50,
815,389,2,
816,390,31,
817,390,29,
818,390,1,
819,390,104,
820,390,7,
821,391,43,
822,392,115,
823,393,33,
824,393,109,
825,393,35,
826,394,38,
827,394,19,
828,394,35,
829,394,41,
830,395,1,
831,396,40,
832,396,43,
833,397,115,
834,397,41,
835,398,35,
836,399,43,
837,399,7,
838,399,10,
839,399,40,
840,399,33,
841,400,43,
842,400,23,
843,403,31,
844,403,33,
845,405,50,
846,405,10,
847,405,43,
848,406,55,
849,407,74,
850,410,40,
851,411,80,
852,411,75,
853,411,45,
854,412,34,
855,412,50,
856,412,7,
857,412,31,
858,412,43,
859,413,114,
860,414,43,
861,414,35,
862,414,42,
863,415,33,
864,415,114,
865,416,40,
866,416,41,
867,416,43,
868,416,31,
869,417,31,
870,417,43,
871,417,45,
872,418,31,
873,418,43,
874,419,40,
875,419,41,
876,419,50,
877,419,31,
878,419,9,
879,420,7,
880,420,43,
881,420,31,
882,423,35,
883,423,50,
884,423,43,
885,424,31,
886,425,32,
887,425,10,
888,425,39,
889,425,43,
890,425,31,
891,426,50,
892,426,43,
893,426,9,
894,427,31,
895,427,43,
896,428,50,
897,428,43,
898,429,31,
899,429,43,
900,430,50,
901,430,43,
902,430,31,
903,431,43,
904,431,31,
905,431,33,
906,432,43,
907,432,31,
908,433,50,
909,433,43,
910,433,31,
911,434,39,
912,434,43,
913,434,19,
914,434,31,
915,435,67,
916,435,41,
917,435,43,
918,436,41,
919,436,43,
920,436,31,
921,437,40,
922,437,43,
923,439,50,
924,439,41,
925,443,8,
926,443,67,
927,444,8,
928,444,29,
929,445,32,
930,445,41,
931,445,43,
932,446,31,
933,446,43,
934,447,37,
935,447,8,
936,447,43,
937,447,33,
938,448,41,
939,449,33,
940,449,41,
941,450,50,
942,450,35,
943,450,41,
944,450,10,
945,451,49,
946,451,33,
947,451,40,
948,452,60,
949,452,41,
950,453,18,
951,454,39,
952,454,49,
953,454,41,
954,455,17,
955,455,41,
956,455,43,
957,455,35,
958,455,31,
959,456,5,
960,456,22,
961,457,19,
962,457,35,
963,457,43,
964,457,3,
965,458,41,
966,458,43,
967,458,33,
968,459,10,
969,459,41,
970,459,5,
971,459,35,
972,460,116,
973,461,50,
974,461,44,
975,461,43,
976,463,50,
977,463,33,
978,463,109,
979,463,31,
980,465,50,
981,465,41,
982,467,41,
983,467,34,
984,467,33,
985,469,50,
986,470,40,
987,470,35,
988,470,19,
989,470,41,
990,472,43,
991,473,29,
992,483,41,
993,483,40,
994,483,31,
995,483,35,
996,483,43,
997,486,31,
998,486,43,
999,487,31,
1000,487,43,
1001,487,10,
1002,487,41,
1003,488,50,
1004,488,31,
1005,488,43,
1006,488,41,
1007,489,5,
1008,489,6,
1009,489,41,
1010,489,43,
1011,490,50,
1012,490,35,
1013,490,49,
1014,490,43,
1015,492,29,
1016,492,26,
1017,492,7,
1018,494,31,
1019,494,75,
1020,494,33,
1021,495,50,
1022,495,43,
1023,495,41,
1024,498,50,
1025,500,43,
1026,500,33,
1027,501,50,
1028,501,10,
1029,502,114,
1030,502,50,
1031,503,6,
1032,503,42,
1033,504,111,
1034,505,105,
1035,505,42,
1036,506,74,
1037,506,43,
1038,506,29,
1039,507,26,
1040,507,42,
1041,507,10,
1042,507,32,
1043,508,116,
1044,509,104,
1045,509,109,
1046,510,41,
1047,511,43,
1048,512,111,
1049,512,43,
1050,512,31,
1051,513,41,
1052,513,50,
1053,513,113,
1054,514,43,
1055,515,50,
1056,515,31,
1057,515,43,
1058,516,41,
1059,517,43,
1060,517,50,
1061,518,109,
1062,518,50,
1063,518,31,
1064,519,33,
1065,520,49,
1066,521,8,
1067,522,115,
1068,523,39,
1069,523,79,
1070,524,37,
1071,525,43,
1072,525,42,
1073,526,104,
1074,527,50,
1075,527,43,
1076,528,43,
1077,531,60,
1078,532,28,
1079,533,104,
1080,533,109,
1081,533,43,
1082,534,25,
1083,534,43,
1084,535,32,
1085,535,43,
1086,536,33,
1087,536,43,
1088,538,109,
1089,538,43,
1090,539,17,
1091,539,43,
1092,539,33,
1093,540,43,
1094,542,43,
1095,542,31,
1096,543,31,
1097,543,10,
1098,544,111,
1099,544,43,
1100,545,31,
1101,546,32,
1102,546,30,
1103,546,43,
1104,547,30,
1105,547,33,
1106,548,50,
1107,548,31,
1108,549,18,
1109,549,31,
1110,550,50,
1111,551,50,
1112,551,31,
1113,552,33,
1114,552,50,
1115,553,43,
1116,554,30,
1117,554,50,
1118,555,33,
1119,556,50,
1120,556,31,
1121,557,43,
1122,557,31,
1123,558,43,
1124,559,41,
1125,559,105,
1126,560,50,
1127,561,43,
1128,562,50,
1129,562,43,
1130,563,43,
1131,564,40,
1132,564,41,
1133,565,50,
1134,566,43,
1135,568,18,
1136,569,22,
1137,571,41,
1138,572,41,
1139,572,114,
1140,573,26,
1141,574,43,
1142,575,114,
1143,576,40,
1144,576,33,
1145,577,41,
1146,578,81,
1147,578,43,
1148,579,41,
1149,580,50,
1150,580,74,
1151,581,43,
1152,583,43,
1153,584,43,
1154,585,32,
1155,585,43,
1156,586,32,
1157,587,55,
1158,587,43,
1159,588,49,
1160,588,74,
1161,589,43,
1162,589,50,
1163,590,17,
1164,591,33,
1165,592,50,
1166,592,31,
1167,593,43,
