full_name,first_name,last_name,date_birth,gender,dead_or_alive,last_degree_of_studies,contest_id
Abigail Arredondo Ramos,Abigail,Arredondo Ramos,1982-08-11,2,True,4,310,
Raquel Ruiz de Santiago Álvarez,Raquel,Ruiz de Santiago Álvarez,1981-04-10,2,True,-1,310,
Penélope Ramírez Manriquez,Penélope,Ramírez Manriquez,1971-07-18,2,True,6,310,
Katia Reséndiz Jaime,Katia,Reséndiz Jaime,1985-01-02,2,True,-1,310,
Beatriz León Sotelo,Beatriz,León Sotelo,0001-01-01,2,True,4,310,
Celia Maya García,Celia,Maya García,1949-12-04,2,True,7,310,
María de Jesús Ibarra Pérez,María de Jesús,Ibarra Pérez,1967-05-17,2,True,6,310,
Miguel Nava Alvarado,Miguel,Nava Alvarado,1971-08-17,1,True,7,310,
Juan Carlos Martínez Cecias Rodríguez,Juan Carlos Martínez,Cecias Rodríguez,1970-02-20,1,True,-1,310,
Octavio Pedroza Gaitán,Octavio,Pedroza Gaitán,1959-05-20,1,True,6,311,
Ricardo Gallardo Cardona,Ricardo,Gallardo Cardona,1980-11-10,1,True,4,311,
Adriana Marvelly Costanzo Rangel,Adriana Marvelly,Costanzo Rangel,0001-01-01,2,True,4,311,
Francisco Javier Rico Ávalos,Francisco Javier,Rico Ávalos,0001-01-01,1,True,7,311,
Mónica Liliana Rangel Martínez,Mónica Liliana,Rangel Martínez,1979-06-04,2,True,6,311,
Adrián Esper Cárdenas,Adrián,Esper Cárdenas,1977-10-09,1,True,4,311,
José Luis Romero Calzada,José Luis,Romero Calzada,0001-01-01,1,True,-1,311,
Juan Carlos Machinena Morales,Juan Carlos,Machinena Morales,0001-01-01,1,True,7,311,
José Arturo Segoviano García,José Arturo,Segoviano García,0001-01-01,1,True,7,311,
Mario Zamora Gastélum,Mario,Zamora Gastélum,2018-08-29,1,True,6,312,
Gloria González Burboa,Gloria,González Burboa,0001-01-01,2,True,6,312,
Tomás Saucedo Carreño,Tomás,Saucedo Carreño,0001-01-01,1,True,4,312,
Sergio Torres Félix,Sergio,Torres Félix,1966-06-05,1,True,4,312,
Rubén Rocha Moya,Rubén,Rocha Moya,1949-06-15,1,True,7,312,
Ricardo Arnulfo Mendoza Sauceda,Ricardo Arnulfo,Mendoza Sauceda,0001-01-01,1,True,4,312,
Yolanda Cabrera Peraza,Yolanda,Cabrera Peraza,0001-01-01,2,True,7,312,
Rosa Elena Millán Bueno,Rosa Elena,Millán Bueno,1966-11-22,2,True,4,312,
Ernesto Gándara Camou,Ernesto,Gándara Camou,1960-09-22,1,True,6,313,
Francisco Alfonso Durazo Montaño,Francisco Alfonso,Durazo Montaño,1954-07-11,1,True,7,313,
Ricardo Robinson Bours Castelo,Ricardo Robinson,Bours Castelo,1962-07-12,1,True,5,313,
Carlos Ernesto Zatarain González,Carlos Ernesto,Zatarain González,1961-08-21,1,True,4,313,
David Cuahutémoc Galindo Delgado,David Cuahutémoc,Galindo Delgado,1975-12-07,1,True,4,313,
María del Rosario Fátima Robles Robles,María del Rosario Fátima,Robles Robles,0001-01-01,2,True,6,313,
Anabell Ávalos Zempoalteca,Anabell,Ávalos Zempoalteca,1965-04-06,2,True,4,314,
Lorena Cuéllar Cisneros,Lorena,Cuéllar Cisneros,1962-02-20,2,True,4,314,
Eréndira Jiménez Montiel,Eréndira,Jiménez Montiel,1969-04-26,2,True,4,314,
Liliana Becerril Rojas,Liliana,Becerril Rojas,0001-01-01,2,True,6,314,
Juan Carlos Sánchez Saga,Juan Carlos,Sánchez Saga,1978-04-24,1,True,6,314,
Viviana Barbosa Bonola,Viviana,Barbosa Bonola,1983-07-09,2,True,6,314,
Evangelina Paredes Zamora,Evangelina,Paredes Zamora,1965-02-10,2,True,7,314,
Claudia Edith Anaya Mota,Claudia Edith,Anaya Mota,1979-06-06,2,True,6,315,
David Monreal Ávila,David,Monreal Ávila,1966-03-22,1,True,4,315,
Ana María Romo Fonseca,Ana María,Romo Fonseca,0001-01-01,2,True,7,315,
Flavio Campos Miramontes,Flavio,Campos Miramontes,0001-01-01,1,True,6,315,
María Guadalupe Medina Padilla,María Guadalupe,Medina Padilla,0001-01-01,2,True,4,315,
Fernanda Salomé Perera Trejo,Fernanda Salomé,Perera Trejo,0001-01-01,2,True,4,315,
Miriam García Zamora,Miriam,García Zamora,1980-08-19,2,True,4,315,
Javier Valadez Becerra,Javier,Valadez Becerra,0001-01-01,1,True,-1,315,
Rubén Zurisadai Enriquez Flores,Rubén Zurisadai,Enriquez Flores,0001-01-01,1,True,-1,318,
Jorgina Gaxiola Lezama,Jorgina,Gaxiola Lezama,0001-01-01,2,True,6,318,
Eduardo Santillan Pérez,Eduardo,Santillan Pérez,0001-01-01,1,True,4,318,
Leslie Staines Formoso,Leslie,Staines Formoso,0001-01-01,2,True,4,318,
Marisela Padilla Trassancos,Marisela,Padilla Trassancos,0001-01-01,2,True,-1,318,
Francisco Jesús Estevez Cuevas,Francisco Jesús,Estevez Cuevas,0001-01-01,1,True,5,318,
Lía Limón García,Lía,Limón García,1973-04-14,2,True,6,318,
Connie Rosanely Alavez Luna,Connie Rosanely,Alavez Luna,0001-01-01,2,True,4,320,
Yuritza Solís Ponce,Yuritza,Solís Ponce,0001-01-01,2,True,4,320,
Claudia Jovita García Flores,Claudia Jovita,García Flores,0001-01-01,2,True,-1,320,
Vidal Llerenas Morales,Vidal,Lleneras Morales,1972-02-02,1,True,7,320,
Luisa Yanira Alpizar Castellanos,Luisa Yanira,Alpizar Castellanos,0001-01-01,2,True,6,320,
María Enriqueta Torres Ramírez,María Enriqueta,Torres Ramírez,0001-01-01,2,True,-1,320,
Jose Manuel Díaz Covarrubias Castillón,Jose Manuel,Díaz Covarrubias Castillón,0001-01-01,1,True,-1,320,
Margarita Saldaña Hernández,Margarita,Saldaña Hernández,1964-02-19,2,True,4,320,
Carlos Corral Serrano,Carlos,Corral Serrano,0001-01-01,1,True,6,321,
Rodrigo Cordera Thacker,Rodrigo,Cordera Thacker,1985-08-18,1,True,4,321,
Santiago Taboada Cortina,Santiago,Taboada Cortina,1985-10-14,1,True,6,321,
Ivonne Teresa Yasmin Corral Vicente,Ivonne Teresa Yasmin,Corral Vicente,0001-01-01,2,True,-1,321,
Paula Adriana Soto Maldonado,Paula Adriana,Soto Maldonado,0001-01-01,2,True,4,321,
Araceli Alvares Martín,Araceli,Alvares Martín,0001-01-01,2,True,4,321,
Yazmin Garcia Gómez,Yazmin,Garcia Gómez,0001-01-01,2,True,4,321,
Marte Manuel Calderón Quezada,Marte Manuel,Calderón Quezada,0001-01-01,1,True,-1,321,
Cynthia Barrios García,Cynthia,Barrios García,0001-01-01,2,True,-1,324,
Patricia Urriza Arellano,Patricia,Urriza Arellano,0001-01-01,2,True,4,324,
Gerardo Luis Castillo Alcala,Gerardo Luis,Castillo Alcala,0001-01-01,1,True,4,324,
Carlos Alonso Castillo Pérez,Carlos Alonso,Castillo Pérez,0001-01-01,1,True,4,324,
Miroslava Magaña Diaz,Miroslava,Magaña Diaz,0001-01-01,2,True,-1,324,
Karen Lizbeth Preciado Guerrero,Karen Lizbeth,Preciado Guerrero,0001-01-01,2,True,-1,324,
Adriana Fabiola Poblano Ramos,Adriana Fabiola,Poblano Ramos,0001-01-01,2,True,4,324,
José Giovani Gutiérrez Aguilar,José Giovani,Gutiérrez Aguilar,1970-03-19,1,True,4,324,
Susana González Cueto Martínez,Susana,González Cueto Martínez,0001-01-01,2,True,-1,325,
Estefanía De Garay Caballero,Estefanía,De Garay Caballero,0001-01-01,2,True,6,325,
Miguel Angel Sarabia Zaldivar,Miguel Angel,Sarabia Zaldivar,0001-01-01,1,True,-1,325,
Francisco Javier Saldivar Camacho,Francisco Javier,Saldivar Camacho,1967-03-12,1,True,2,325,
Adriana Duarte Yépez,Adriana,Duarte Yépez,0001-01-01,2,True,4,325,
Francisco De Souza Machorro,Francisco,De Souza Machorro,1952-01-20,1,True,4,325,
Paula Patricia Ileana Arizpe Del Valle,Paula Patricia Ileana,Arizpe Del Valle,0001-01-01,2,True,7,325,
Adrian Ruvalcaba Suárez,Adrian,Ruvalcaba Suárez,1977-01-29,1,True,4,325,
Itzel Viridiana Cabral Soto,Itzel Viridiana,Cabral Soto,0001-01-01,2,True,4,326,
Marco Antonio Ignacio Rascón Córdova,Marco Antonio Ignacio,Rascón Córdova,1952-09-22,1,True,2,326,
Angelica Lizbeth Bravo Bonilla,Angelica Lizbeth,Bravo Bonilla,0001-01-01,2,True,6,326,
María De Los Dolores Padierna Luna,María De Los Dolores,Padierna Luna,1958-05-08,2,True,4,326,
Edgardo Iram Cerda Martínez,Edgardo Iram,Cerda Martínez,0001-01-01,1,True,6,326,
Esau Miguel Flores Tapia,Esau Miguel,Flores Tapia,0001-01-01,1,True,6,326,
Norma Luz De La Concha Gálvez,Norma Luz,De La Concha Gálvez,0001-01-01,2,True,-1,326,
Sandra Xantall Cuevas Nieves,Sandra Xantall,Cuevas Nieves,1986-05-25,2,True,7,326,
Aida Arregui Guerrero,Aida,Arregui Guerrero,0001-01-01,2,True,4,330,
Alberto Castro Arrona,Alberto,Castro Arrona,1974-08-08,1,True,6,330,
Gloria Sotelo Salazar,Gloria,Sotelo Salazar,0001-01-01,2,True,4,330,
Lucina Tapía Gutiérrez,Lucina,Tapía Gutiérrez,0001-01-01,2,True,-1,330,
Francisco Chiguil Figueroa,Francisco,Chiguil Figueroa,1961-10-04,1,True,7,330,
Fernando Gómez Rodríguez,Fernando,Gómez Rodríguez,0001-01-01,1,True,4,330,
Toshimi Jacob Hira Ugalde,Toshimi Jacob,Hira Ugalde,1974-08-16,1,True,4,330,
Aidée Rivera Ordoñez,Aidée,Rivera Ordoñez,0001-01-01,2,True,-1,330,
Raúl Ojeda Parada,Raúl,Ojeda Parada,0001-01-01,1,True,6,330,
María del Carmen Pacheco Gamiño,Pacheco Gamiño,María del Carmen,0001-01-01,2,True,4,330,
Omar Gastón Gutiérrez Olvera,Omar Gastón,Gutiérrez Olvera,0001-01-01,1,True,-1,333,
Sandra Díaz Zacarías,Sandra,Díaz Zacarías,0001-01-01,2,True,6,333,
Irma Fabiola Bautista Guzmán,Irma Fabiola,Bautista Guzmán,1985-10-24,2,True,4,333,
Daniel Ordoñez Hernández,Daniel,Ordoñez Hernández,1968-06-13,1,True,4,333,
Rafael Márquez Méndez,Rafael,Márquez Méndez,1975-03-25,1,True,-1,333,
Raúl Armando Quintero Martínez,Raúl Armando,Quintero Martínez,1954-11-25,1,True,4,333,
Clotilde Moreno Sánchez,Clotilde,Moreno Sánchez,0001-01-01,2,True,4,333,
Laura Angelica Murcia Pérez,Laura Angelica,Murcia Pérez,0001-01-01,2,True,-1,333,
Rafael Castro Cruz,Rafael,Castro Cruz,0001-01-01,1,True,-1,333,
Pablo Raúl Moreno Carrión,Pablo Raúl,Moreno Carrión,0001-01-01,1,True,4,333,
Víctor Manuel Valle Martínez,Víctor Manuel,Valle Martínez,0001-01-01,1,True,-1,334,
Joel David Santiago Villa,Joel David,Santiago Villa,0001-01-01,1,True,-1,334,
Iván Rebollar Reyes,Iván,Rebollar Reyes,0001-01-01,1,True,4,334,
Clara Marina Brugada Molina,Clara Marina,Brugada Molina,1963-08-12,2,True,4,334,
Miguel Ángel Álvarez Melo,Miguel Ángel,Álvarez Melo,0001-01-01,1,True,-1,334,
Héctor Edmundo Hernández Fuentes,Héctor Edmundo,Hernández Fuentes,0001-01-01,1,True,-1,334,
Alejandro Jaime Rueda Valencia,Alejandro Jaime,Rueda Valencia,0001-01-01,1,True,4,334,
Alicia Amalia Sobrado González,Alicia Amalia,Sobrado González,0001-01-01,2,True,4,336,
María De Las Nieves Villalobos Pérez,María De Las Nieves,Villalobos Pérez,0001-01-01,2,True,-1,336,
