full_name,first_name,last_name,date_birth,gender,dead_or_alive,last_degree_of_studies,contest_id
Jorge Salvador Arriola Sanchez,Jorge Salvador,Arriola Sanchez,0001-01-01,1,True,4,238,
Felipe Cervantes Vega,Felipe,Cervantes Vega,0001-01-01,1,True,7,258,
Mayra Isabel Nuñez Tenorio,Mayra Isabel,Nuñez Tenorio,0001-01-01,2,True,4,277,
Margarita Antonio Cardiel,Margarita,Antonio Cardiel,0001-01-01,2,True,-1,290,
Esther Uribe Soria,Esther,Uribe Soria,0001-01-01,2,True,2,34,
Alejandro Olivos Canseco,Alejandro,Olivos Canseco,0001-01-01,1,True,-1,44,
Tania Alicia Hernandez Gonzalez,Tania Alicia,Hernandez Gonzalez,0001-01-01,2,True,4,53,
Edgar Galindo Macedo,Edgar,Galindo Macedo,0001-01-01,1,True,2,62,
Alfredo Adame Vonknoop,Alfredo,Adame Vonknoop,0001-01-01,1,True,4,68,
Ramon Picazo Castelan,Ramon,Picazo Castelan,0001-01-01,1,True,4,74,
Edmundo Flavio Bustamante Abed,Edmundo Flavio,Bustamante Abed,0001-01-01,1,True,2,80,
Alejandro Rosales Miranda,Alejandro,Rosales Miranda,0001-01-01,1,True,-1,84,
Nizhuly Yathzin Ortiz Mena,Nizhuly Yathzin,Ortiz Mena,0001-01-01,2,True,4,88,
Maria Del Carmen Huerta Grajales,Maria Del Carmen,Carmen Huerta Grajales,0001-01-01,2,True,-1,92,
Fernando Avilez Tostado,Fernando,Avilez Tostado,0001-01-01,1,True,7,128,
Rogelio Romulo Enrique Guerrero Lopez,Rogelio Romulo Enrique,Guerrero Lopez,0001-01-01,1,True,4,132,
Domitila Reyes Barrientos,Domitila,Reyes Barrientos,0001-01-01,2,True,2,134,
Alejandro Orozco Hernandez,Alejandro,Orozco Hernandez,0001-01-01,1,True,-1,136,
Jesus Adrian Lopez Zamora,Jesus Adrian,Lopez Zamora,0001-01-01,1,True,4,138,
Mauricio Garcia Jarquin,Mauricio,Garcia Jarquin,0001-01-01,1,True,4,7,
Maribel Guadalupe Villaseñor Davila,Maribel Guadalupe,Villaseñor Davila,0001-01-01,2,True,4,102,
Wendy Gonzalez Urrutia,Wendy,Gonzalez Urrutia,0001-01-01,2,True,4,149,
Luciano Jimeno Huanosta,Luciano,Jimeno Huanosta,0001-01-01,1,True,-1,187,
Karla Ayala Villalobos,Karla,Ayala Villalobos,0001-01-01,2,True,4,215,
Diana Maria Teresa Lara Carreon,Diana Maria Teresa,Lara Carreon,0001-01-01,2,True,2,238,
Maricela Gastelu Userralde,Maricela,Gastelu Userralde,0001-01-01,2,True,4,258,
Cynthia Iliana Lopez Castro,Cynthia Iliana,Lopez Castro,1987-02-18,2,True,7,277,
Grecia Samantha Hernandez Martinez,Grecia Samantha,Hernandez Martinez,0001-01-01,2,True,7,290,
Margarita Ester Zavala Gomez Del Campo,Margarita Ester,Zavala Gomez Del Campo,1967-07-25,2,True,-1,34,
Humberto Lozano Aviles,Humberto,Lozano Aviles,1963-04-02,1,True,7,44,
Ana Cecilia Luisa Gabriela Fernanda Sodi Miranda,Ana Cecilia Luisa Gabriela,Sodi Miranda,0001-01-01,2,True,4,53,
Elsa Daniela Acosta Gutierrez,Elsa Daniela,Acosta Gutierrez,0001-01-01,2,True,2,62,
Maria Del Rocio Banquells Nuñez,Maria Del Rocio,Rocio Banquells Nuñez,1958-06-22,2,True,4,68,
Luis Alberto Mendoza Acevedo,Luis Alberto,Mendoza Acevedo,1980-01-12,1,True,-1,74,
Xavier Gonzalez Zirion,Xavier,Gonzalez Zirion,0001-01-01,1,True,4,80,
Jorge Triana Tena,Jorge,Triana Tena,1976-09-08,1,True,4,84,
Marcelino Castañeda Navarrete,Marcelino,Castañeda Navarrete,0001-01-01,1,True,-1,88,
Jazmin Angelica Pille Guzman,Jazmin Angelica,Pille Guzman,0001-01-01,2,True,7,92,
Sindy Aguilar Martinez,Sindy,Aguilar Martinez,1988-02-05,2,True,4,128,
Jose Luis Barajas Medina,Jose Luis,Barajas Medina,0001-01-01,1,True,4,132,
Ana Maria Reyes Cisneros,Ana Maria,Reyes Cisneros,0001-01-01,2,True,4,134,
Gabriel Ricardo Quadri De La Torre,Gabriel Ricardo,Quadri De La Torre,1954-08-04,1,True,7,136,
Hector Saul Tellez Hernandez,Hector Saul,Tellez Hernandez,0001-01-01,1,True,7,138,
Patricio Rolando Robles Jimenez,Patricio Rolando,Robles Jimenez,0001-01-01,1,True,4,102,
Gabriela Georgina Jimenez Godoy,Gabriela Georgina,Jimenez Godoy,0001-01-01,2,True,7,149,
Jose Gerardo Rodolfo Fernandez Noroña,Jose Gerardo Rodolfo,Rodolfo Fernandez Noroña,1960-03-19,1,True,4,187,
Claudia Lopez Rayon,Claudia,Lopez Rayon,1973-04-22,2,True,7,215,
Maria De Jesus Rosete Sanchez,Maria De Jesus,Rosete Sanchez,0001-01-01,2,True,4,277,
Javier Ariel Hidalgo Ponce,Javier Ariel,Hidalgo Ponce,1960-05-14,1,True,7,34,
Oscar Eugenio Gutierrez Camacho,Oscar Eugenio,Gutierrez Camacho,1973-12-14,1,True,4,62,
Ignacio Peregrin Schull,Ignacio,Peregrin Schull,0001-01-01,1,True,7,74,
Silvia Lorena Villavicencio Ayala,Silvia Lorena,Villavicencio Ayala,1964-06-12,2,True,4,80,
Hector Maldonado San German,Hector Maldonado,San German,0001-01-01,1,True,7,84,
Ana Karina Rojo Pimentel,Ana Karina,Rojo Pimentel,1976-11-28,2,True,4,128,
Pablo Gomez Alvarez,Pablo,Gomez Alvarez,1946-10-21,1,True,4,136,
Juan Manuel Marquez Mendez,Juan Manuel,Marquez Mendez,0001-01-01,1,True,4,102,
Guillermo Arturo Sanchez Garcia,Guillermo Arturo,Sanchez Garcia,1967-11-26,1,True,4,8,
Marcela Castellanos Renteria,Marcela,Castellanos Renteria,0001-01-01,2,True,4,103,
Jesus Alfredo Paredes Lopez,Jesus Alfredo,Paredes Lopez,0001-01-01,1,True,4,150,
Esther Quintana Salinas,Esther,Quintana Salinas,1951-07-01,2,True,4,188,
Jorge Zermeño Infante,Jorge,Zermeño Infante,1949-01-23,1,True,4,216,
Fernando Izaguirre Valdes,Fernando,Izaguirre Valdes,0001-01-01,1,True,4,239,
Laura Karina Ramirez Ramirez,Laura Karina,Ramirez Ramirez,0001-01-01,2,True,4,259,
Marcos Villareal Suday,Marcos,Villareal Suday,0001-01-01,1,True,4,8,
Gladys Ayala Flores,Gladys,Ayala Flores,0001-01-01,2,True,4,103,
Cristina Amezcua Gonzalez,Cristina,Amezcua Gonzalez,0001-01-01,2,True,4,150,
Yerico Abramo Masso,Yerico,Abramo Masso,1975-10-17,1,True,4,188,
Jose Antonio Gutierrez Jardon,Jose Antonio,Gutierrez Jardon,0001-01-01,1,True,6,216,
Shamir Fernandez Hernandez,Shamir,Fernandez Hernandez,1976-02-17,1,True,4,239,
Jaime Bueno Zertuche,Jaime,Bueno Zertuche,0001-01-01,1,True,6,259,
Carmen Vela Ibarra,Carmen,Vela Ibarra,0001-01-01,2,True,-1,8,
Rosa Maria Rocha Dominguez,Rosa Maria,Rocha Dominguez,0001-01-01,2,True,-1,103,
David Alan Ramos Viruete,David Alan,Ramos Viruete,0001-01-01,1,True,4,150,
Sergio Manuel Flores Cepeda,Sergio Manuel,Flores Cepeda,0001-01-01,1,True,4,188,
Maria Cristina Betancourt Garcia,Maria Cristina,Betancourt Garcia,0001-01-01,2,True,4,216,
Pablo Fernandez Llamas,Pablo,Fernandez Llamas,0001-01-01,1,True,-1,239,
Jose Luis Lopez Cepeda,Jose Luis,Lopez Cepeda,1962-06-02,1,True,-1,259,
Sofia Franco Villalobos,Sofia,Franco Villalobos,0001-01-01,2,True,6,259,
Karina Salas Alvarado,Karina,Salas Alvarado,0001-01-01,2,True,4,259,
Vanessa Aleman Ibarra,Vanessa,Aleman Ibarra,0001-01-01,2,True,2,8,
Rosa Maria Guadalupe Rangel Padilla,Rosa Maria Guadalupe,Rangel Padilla,0001-01-01,2,True,2,103,
Oscar Romeo Maldonado Dominguez,Oscar Romeo,Maldonado Dominguez,1960-02-05,1,True,4,150,
Ricardo Arturo Najera Franco,Ricardo Arturo,Najera Franco,0001-01-01,1,True,6,188,
Javier Antonio Handal Castillo,Javier Antonio,Handal Castillo,0001-01-01,1,True,4,216,
Zulema Alejandra Alvarado Garcia,Zulema Alejandra,Alvarado Garcia,0001-01-01,2,True,2,239,
Karla Gabriela Campbell Zetina,Karla Gabriela,Campbell Zetina,0001-01-01,2,True,4,259,
Diana Isabel Hernandez Aguilar,Diana Isabel,Hernandez Aguilar,1981-04-04,2,True,6,259,
Marco Antonio Martinez Lara,Marco Antonio,Martinez Lara,0001-01-01,1,True,6,8,
Miguel Angel Serrato Fernandez,Miguel Angel,Serrato Fernandez,0001-01-01,1,True,4,103,
Adoracion Maria Guadalupe De La Torre Garza,Adoracion Maria Guadalupe,De La Torre Garza,0001-01-01,2,True,4,150,
Sonia Angelica Guerrero Almaraz,Sonia Angelica,Guerrero Almaraz,0001-01-01,2,True,4,188,
Gandhi Bonerge Vega Arguijo,Gandhi Bonerge,Vega Arguijo,1977-04-29,1,True,2,216,
Ana Cecilia Arreola Castañeda Avila,Ana Cecilia Arreola,Castañeda Avila,0001-01-01,2,True,4,239,
Yesenia Lourdes Carrillo Campos,Yesenia Lourdes,Carrillo Campos,0001-01-01,2,True,4,259,
Blanca Lucia Estrada Mendoza,Blanca Lucia,Estrada Mendoza,0001-01-01,2,True,6,8,
Viviana Isela Antuna Rodriguez,Viviana Isela,Antuna Rodriguez,0001-01-01,2,True,4,103,
Diana Laura Silva Trujillo,Diana Laura,Silva Trujillo,0001-01-01,2,True,-1,150,
Rosa Carmen Ruiz Silva,Rosa Carmen,Ruiz Silva,0001-01-01,2,True,-1,188,
Dorian Alejandro Peralta Aguilar,Dorian Alejandro,Peralta Aguilar,0001-01-01,1,True,6,216,
Victor Fidencio Baca Leyva,Victor Fidencio,Baca Leyva,1980-04-12,1,True,4,239,
Osvaldo Lopez Guerrero,Osvaldo,Lopez Guerrero,0001-01-01,1,True,-1,259,
Damaris Esther Tamez Dominguez,Damaris Esther,Tamez Dominguez,0001-01-01,2,True,4,8,
Grecia Aracely Hernandez Reveles,Grecia Aracely,Hernandez Reveles,0001-01-01,2,True,-1,103,
Maria Carolina De Las Mercedes Gonzalez Adan,Maria Carolina De Las Mercedes,Gonzalez Adan,0001-01-01,2,True,-1,150,
Blanca Cecilia Lopez Rivera,Blanca Cecilia,Lopez Rivera,0001-01-01,2,True,4,188,
Dilery Monserrat Gutierrez Valadez,Dilery Monserrat,Gutierrez Valadez,0001-01-01,2,True,6,216,
Evangelina Chavez Rodriguez,Evangelina,Chavez Rodriguez,0001-01-01,2,True,3,239,
Barbara Castillo Laborde,Barbara,Castillo Laborde,0001-01-01,2,True,2,259,
Brigido Ramiro Moreno Hernández,Brigido Ramiro,Moreno Hernández,0001-01-01,1,True,4,8,
Francisco Javier Borrego Adame,Francisco Javier,Borrego Adame,1954-12-27,1,True,3,103,
Melba Nelia Farias Zambrano,Melba Nelia,Farias Zambrano,1955-07-06,2,True,4,150,
Diego Eduardo Del Bosque Villarreal,Diego Eduardo,Del Bosque Villarreal,1990-02-21,1,True,4,188,
Antonio Attolini Murra,Antonio,Attolini Murra,1990-06-11,1,True,4,216,
Rosa Isela Piña Avila,Rosa Isela,Piña Avila,0001-01-01,2,True,4,239,
Yolanda Verduzco Guzman,Yolanda,Verduzco Guzman,0001-01-01,2,True,4,9,
Sonia Lopez Verde,Sonia,Lopez Verde,0001-01-01,2,True,-1,104,
Riult Rivera Gutierrez,Riult,Rivera Gutierrez,0001-01-01,1,True,6,9,
Oscar Armando Avalos Verdugo,Oscar Armando,Avalos Verdugo,1962-12-07,1,True,6,104,
Mario Alberto Reza Castañeda,Mario Alberto,Reza Castañeda,1978-11-28,1,True,4,10,
Liliana Isabel Estrella Rivera,Liliana Isabel,Estrella Rivera,0001-01-01,2,True,4,105,
Roberto Carmona Jauregui,Roberto,Carmona Jauregui,1954-01-29,1,True,4,151,
Martin Vivanco Lira,Martin,Vivanco Lira,1986-01-05,1,True,6,189,
Marcela Maria Gamero De La Hoya,Marcela Maria,Gamero De La Hoya,1977-11-10,2,True,4,10,
Erik Fernando Arzola Sarabia,Erik Fernando,Arzola Sarabia,0001-01-01,1,True,4,105,
Clara Mayra Zepeda Garcia,Clara Mayra,Zepeda Garcia,1980-07-04,2,True,6,151,
Antonio De La Torre Carlos,Antonio,De La Torre Carlos,1960-08-20,1,True,4,189,
Yara Lizette Flores Avila,Yara Lizette,Flores Avila,0001-01-01,2,True,6,10,
Christian Jaqueline Galvan Martinez,Christian Jaqueline,Galvan Martinez,0001-01-01,2,True,4,105,
Fernando Ulises Adame De Leon,Fernando Ulises,Adame De Leon,1959-06-27,1,True,7,151,
Humberto Raul Rosales Badillo,Humberto Raul,Rosales Badillo,0001-01-01,1,True,6,189,
Vladimir Juventino Martinez Torres,Vladimir Juventino,Martinez Torres,0001-01-01,1,True,6,10,
Leticia Gamboa Garcia,Leticia,Gamboa Garcia,0001-01-01,2,True,2,105,
Margarita Diaz Olivas,Margarita,Diaz Olivas,0001-01-01,2,True,2,151,
Alicia Garcia Valenzuela,Alicia,Garcia Valenzuela,0001-01-01,2,True,6,189,
Francisco Javier Castrellon Garza,Francisco Javier,Castrellon Garza,0001-01-01,1,True,4,10,
Maria Del Rocio Rebollo Mendoza,Maria Del Rocio,Rebollo Mendoza,1965-07-07,2,True,6,105,
Maria De Lourdes Martinez Espinosa,Maria De Lourdes,Martinez Espinosa,1971-02-11,2,True,4,151,
Gina Gerardina Campuzano Gonzalez,Gina Gerardina,Campuzano Gonzalez,1965-10-16,2,True,4,189,
Martha Olivia Garcia Vidaña,Martha Olivia,Garcia Vidaña,1969-05-04,2,True,4,10,
Omar Enrique Castañeda Gonzalez,Omar Enrique,Castañeda Gonzalez,1979-05-04,1,True,4,105,
Maribel Aguilera Chairez,Maribel,Aguilera Chairez,1977-12-20,2,True,4,151,
Rigoberto Quiñonez Samaniego,Rigoberto,Quiñonez Samaniego,0001-01-01,1,True,4,189,
Olga Elva Becerra Ducoing,Olga Elva,Becerra Ducoing,0001-01-01,2,True,-1,12,
Nelly Lopez Garcia,Nelly,Lopez Garcia,0001-01-01,2,True,-1,107,
Ma Teresa Gonzalez Del Castillo Orozco,Ma Teresa,Gonzalez Del Castillo Orozco,0001-01-01,2,True,-1,153,
Laura Margarita Carbajal Duarte,Laura Margarita,Carbajal Duarte,0001-01-01,2,True,-1,191,
Maria Eugenia Saavedra Rodriguez,Maria Eugenia,Saavedra Rodriguez,0001-01-01,2,True,6,218,
Ana Elizabeth Carrillo Balderas,Ana Elizabeth,Carrillo Balderas,0001-01-01,2,True,-1,241,
Lidia Hurtado Lozano,Lidia,Hurtado Lozano,0001-01-01,2,True,-1,261,
Sandra Soraida De Los Reyes Fernandez,Sandra Soraida,De Los Reyres Fernandez,0001-01-01,2,True,4,279,
Elvia Joscelyne Rodriguez Rizo,Elvia Joscelyne,Rodriguez Rizo,0001-01-01,2,True,-1,292,
Maria Del Rayo Moreno Castro,Maria Del Rayo,Moreno Castro,0001-01-01,2,True,4,36,
Viviana Lopez Rodriguez,Viviana,Lopez Rodriguez,0001-01-01,2,True,4,46,
Patricia De Guadalupe Patiño Leon,Patricia De Guadalupe,Patiño Leon,0001-01-01,2,True,-1,55,
Maria Veronica Hurtado Ramirez,Maria Veronica,Hurtado Ramirez,0001-01-01,2,True,-1,64,
Juana Erika Rodriguez Guzman,Juana Erika,Rodriguez Guzman,0001-01-01,2,True,-1,70,
Joselyn Viridiana Rocha Rosas,Joselyn Viridiana,Rocha Rosas,0001-01-01,2,True,2,76,
Justino Eugenio Arriaga Rojas,Justino Eugenio,Arriaga Rojas,1979-09-20,1,True,6,279,
Emmanuel Reyes Carmona,Emmanuel,Reyes Carmona,1987-06-29,1,True,6,64,
Teresita Laguna Farfan,Teresita,Laguna Farfan,0001-01-01,2,True,-1,241,
Fernando Torres Graciano,Fernando,Torres Graciano,1970-08-27,1,True,6,153,
Juan Carlos Romero Hicks,Juan Carlos,Romero Hicks,1955-12-10,1,True,6,191,
Ector Jaime Ramirez Barba,Ector Jaime,Ramirez Barba,1956-12-01,1,True,7,218,
Ana Maria Esquivel Arrona,Ana Maria,Esquivel Arrona,0001-01-01,2,True,-1,241,
Karen Michel Gonzalez Marquez,Karen Michel,Gonzalez Marquez,1988-01-21,2,True,4,261,
Jorge Alberto Romero Vazquez,Jorge Alberto,Romero Vazquez,0001-01-01,1,True,4,292,
Sarai Nuñez Ceron,Sarai,Nuñez Ceron,1979-04-17,2,True,6,55,
Esther Mandujano Tinajero,Esther,Mandujano Tinajero,0001-01-01,2,True,7,70,
Itzel Josefina Balderas Hernandez,Itzel Josefina,Balderas Hernandez,0001-01-01,2,True,4,76,
Yolanda Elizeth Galvan Hernandez,Yolanda Elizabeth,Galvan Hernandez,0001-01-01,2,True,4,153,
Maria Estefania Garcia Dobarganes Ramirez,Maria Estefania,Garcia Dobarganes Ramires,1996-11-03,2,True,4,191,
Luis Gerardo Gutierrez Chico,Luis Gerardo,Gutierrez Chico,0001-01-01,1,True,6,218,
Jose De Jesus Vazquez Trujillo,Jose De Jesus,Vazquez Trujillo,0001-01-01,1,True,4,241,
Ma Guadalupe Guerrero Moreno,Ma Guadalupe,Guerrero Moreno,0001-01-01,2,True,4,261,
Norma Concepcion Parra Rocha,Norma Concepcion,Parra Rocha,0001-01-01,2,True,4,292,
Estefania Garcia Navar,Estefania,Garcia Navar,1992-08-25,2,True,4,55,
J Carmen Mondragon Recendiz,J Carmen,Mondragon Recendiz,0001-01-01,1,True,5,70,
Jose Carlos Montibeller Zapien,Jose Carlos,Montibeller Zapien,0001-01-01,1,True,4,76,
Graciela Orta Serrano,Graciela,Orta Serrano,0001-01-01,2,True,4,153,
Igor Olaf Sura Wysocki,Igor Olaf,Sura Wysocki,0001-01-01,1,True,-1,191,
Miguel Agustin Cortes Gonzalez,Miguel Agustin,Cortes Gonzalez,0001-01-01,1,True,4,218,
Josefina Nicasio Meza,Josefina,Nicasio Meza,0001-01-01,2,True,-1,241,
Ana Maria Hernandez Ayala,Ana Maria,Hernandez Ayala,0001-01-01,2,True,-1,261,
Moises Castro Ayala,Moises,Castro Ayala,0001-01-01,1,True,-1,292,
Jose Carlos Calleja Lopez,Jose Carlos,Calleja Lopez,0001-01-01,1,True,4,55,
Rosa Paola Villanueva Zamudio,Rosa Paola,Villanueva Zamudio,0001-01-01,2,True,-1,70,
Carlos Alberto Delgado Arroyo,Carlos Alberto,Delgado Arroyo,0001-01-01,1,True,-1,76,
Alejandro Arturo Calvillo Apolinar,Alejandro Arturo,Calvillo Apolinar,0001-01-01,1,True,4,153,
Gricel Rodriguez Robledo,Gricel,Rodriguez Robledo,0001-01-01,2,True,4,191,
Ana Cecilia Graciela Simon Bustamante,Ana Cecilia Graciela,Simon Bustamante,0001-01-01,2,True,4,218,
Karla De La Puente Escudero,Karla,De La Puente Escudero,0001-01-01,2,True,4,241,
Fabricio Antonio Aleman Valadez,Fabricio Antonio,Aleman Valadez,0001-01-01,1,True,4,261,
J Jesus Bolaños Audifred,J Jesus,Bolaños Audifred,0001-01-01,1,True,4,292,
Armando Montiel Sanchez,Armando,Montiel Sanchez,0001-01-01,1,True,4,55,
Ma Del Carmen Zanatta Zago,Ma Del Carmen,Zanatta Zago,0001-01-01,2,True,5,70,
Mayra Elizabeth Negrete Vaca,Mayra Elizabeth,Negrete Vaca,0001-01-01,2,True,4,76,
Edna Virginia Gomez Martinez,Edna Virginia,Gomez Martinez,0001-01-01,2,True,4,153,
Angelica Martinez Salinas,Angelica,Martinez Salinas,0001-01-01,2,True,4,191,
Xochitl Patricia Ortega Angulo,Xochitl Patricia,Ortega Angulo,0001-01-01,2,True,4,218,
Basilio Magaña Garcia,Basilio,Magaña Garcia,0001-01-01,1,True,4,241,
Gloria Rodriguez Ruvalcaba,Gloria,Rodriguez Ruvalcaba,0001-01-01,2,True,4,261,
Adriana Loreto Chagoya Ortega,Adriana Loreto,Chagoya Ortega,0001-01-01,2,True,2,292,
Rosaura Cuenca Sierra,Rosaura,Cuenca Sierra,0001-01-01,2,True,6,55,
Gabriel Perez Corona,Gabriel,Perez Corona,0001-01-01,1,True,7,70,
Abraham Lopez Ramirez,Abraham,Lopez Ramirez,0001-01-01,1,True,1,76,
Ma Isabel Llamas Andrade,Ma Isabel,Llamas Andrade,0001-01-01,2,True,4,153,
Juan Omar Palafox Lopez,Juan Omar,Palafox Lopez,0001-01-01,1,True,6,191,
Juan Angel Jaime Cordova,Juan Angel,Jaime Cordova,0001-01-01,1,True,4,218,
Gabriela Leticia Caamaño Muñoz,Gabriela Leticia,Caamaño Muñoz,0001-01-01,2,True,4,241,
Shakira Madrigal Gomez Cruz,Shakira Madrigal,Gomez Cruz,0001-01-01,2,True,2,261,
Carlos Ivan Ponce Montaño,Carlos Ivan,Ponce Montaño,0001-01-01,1,True,4,292,
Victor Hugo Pineda Martinez,Victor Hugo,Pineda Martinez,0001-01-01,1,True,4,55,
Juana Garcia Ramirez,Juana,Garcia Ramirez,0001-01-01,2,True,4,70,
Hugo Villaseñor Eslava,Hugo,Villaseñor Eslava,0001-01-01,1,True,2,76,
Edgar Omar Chico Mercado,Edgar Omar,Chico Mercado,0001-01-01,1,True,4,153,
Ruth Esperanza Lugo Martinez,Ruth Esperanza,Lugo Martinez,1967-06-14,2,True,6,191,
Juana Angelica Sanroman Vazquez,Juana Angelica,Sanroman Vazquez,0001-01-01,2,True,2,218,
Janette Garcia Sandoval,Janette,Garcia Sandoval,0001-01-01,2,True,4,241,
Zoraida Cardona Jimenez,Zoraida,Cardona Jimenez,0001-01-01,2,True,2,261,
Diana Del Rosario Paco Arguello,Diana Del Rosario,Paco Arguello,0001-01-01,2,True,4,292,
Barbara Varela Rosales,Barbara,Varela Rosales,0001-01-01,2,True,7,55,
Luis Antonio Magdaleno Gordillo,Luis Antonio,Magdalena Gordillo,0001-01-01,1,True,4,70,
Miguel Angel Chico Herrera,Miguel Angel,Chico Herrera,1961-03-17,1,True,4,76,
Arturo Ortiz Martinez,Arturo,Ortiz Martinez,0001-01-01,1,True,-1,153,
Jose Mendez Ortega,Jose,Mendez Ortega,0001-01-01,1,True,4,191,
Luis Alberto Espinoza Hernandez,Luis Alberto,Espinoza Hernandez,0001-01-01,1,True,-1,218,
Navidad Gutierrez Contreras,Navidad,Gutierrez Contreras,0001-01-01,2,True,4,241,
Maria Lizbeth Guerrero Rodriguez,Maria Lizbeth,Guerrero Rodriguez,0001-01-01,2,True,2,261,
Martha Lucia Olmos Barrera,Martha Lucia,Olmos Barrera,0001-01-01,2,True,4,292,
Juan Jose Sanchez Robles,Juan Jose,Sanchez Robles,0001-01-01,1,True,4,55,
Violeta Ameyali Bastida Cañada,Violeta Ameyali,Bastida Cañada,0001-01-01,2,True,-1,70,
Ma Concepcion Marcela Hernandez Alvarez,Ma Concepcion Marcela,Hernandez Alvarez,0001-01-01,2,True,4,76,
Maria Fernanda Vazquez Gomez,Maria Fernanda,Vazquez Gomez,0001-01-01,2,True,-1,153,
Maribel Uribe Buendia,Maribel,Uribe Buendia,0001-01-01,2,True,4,191,
Uriel Duran Rodriguez,Uriel,Duran Rodriguez,0001-01-01,1,True,6,218,
Cecilia Siboney Garcia Diaz,Cecilia Siboney,Garcia Diaz,0001-01-01,2,True,-1,241,
Sandra Jazmin Sanchez Trujillo,Sandra Jazmin,Sanchez Trujillo,0001-01-01,2,True,-1,261,
Mauricio Hernandez Bustamante,Mauricio,Hernandez Bustamante,0001-01-01,1,True,-1,292,
Silvia Andrea Oyanguren Guerrero,Silvia Andrea,Oyanguren Guerrero,0001-01-01,2,True,4,55,
Violeta Elizabeth Mandujano Gonzalez,Violeta Elizabeth,Mandujano Gonzalez,0001-01-01,2,True,4,70,
Raquel Adelaida Camarillo Juarez,Raquel Adelaida,Camarillo Juarez,0001-01-01,2,True,-1,76,
Nadia Gomez Juarez,Nadia,Gomez Juarez,0001-01-01,2,True,2,108,
Kaly Victoria Delgado,Kaly,Victoria Delgado,0001-01-01,2,True,2,108,
Anibal Flores Gonzalez,Anibal,Flores Gonzalez,0001-01-01,1,True,4,13,
Concepcion Jatciris Ruiz Garcia,Concepcion Jatciris,Ruiz Garcia,0001-01-01,2,True,1,262,
Fermin Ruano Morales,Fermin,Ruano Morales,1984-04-14,1,True,6,280,
Arturo Garcia Ortega,Arturo,Garcia Ortega,0001-01-01,1,True,4,154,
Laura Melissa Muñoz Perez,Laura Melissa,Muñoz Perez,0001-01-01,2,True,4,192,
Celestina Garcia Diaz,Celestina,Garcia Diaz,0001-01-01,2,True,1,219,
Noelia Moctezuma Rizo,Noelia,Moctezuma Rizo,0001-01-01,2,True,2,280,
Victoriano Wences Real,Victoriano,Wences Real,1974-04-27,1,True,6,219,
Dulce Maria Montes Lagunas,Dulce Maria,Montes Lagunas,0001-01-01,1,True,-1,13,
Jenifer Valle Verduzco,Jenifer,Valle Verduzco,0001-01-01,2,True,-1,154,
Gabriela Espinal Flores,Gabriela,Espinal Flores,0001-01-01,2,True,-1,219,
Saulo Azua Reyes,Saulo,Azua Reyes,0001-01-01,1,True,6,242,
Juan Pablo Rojas Perez,Juan Pablo,Rojas Perez,0001-01-01,1,True,-1,280,
Carlos Cienfuegos Milian,Carlos,Cienfuegos Milian,0001-01-01,1,True,-1,293,
Erika Arismel Hinojosa Cardenas,Erika Arismel,Hinojosa Cardenas,0001-01-01,2,True,2,13,
Miamy Araceli Roman Garcia,Miamy Araceli,Roman Garcia,0001-01-01,2,True,2,108,
Cruz Yasmini Ruiz Carrillo,Cruz Yasmini,Ruiz Carrillo,0001-01-01,2,True,4,154,
Violeta Arroyo Santos,Violeta,Arroyo Santos,0001-01-01,2,True,4,192,
Marisela Salmeron Feliciano,Marisela,Salmeron Feliciano,0001-01-01,2,True,1,219,
Antelma Leon Marcial,Antelma,Leon Marcial,0001-01-01,2,True,-1,280,
Yesenia Galarza Castro,Yesenia,Galarza Castro,0001-01-01,2,True,4,108,
Aracely Alheli Alvarado Gonzalez,Aracely Alheli,Alvarado Gonzalez,0001-01-01,2,True,6,108,
Lazaro Mazon Alonso,Lazaro,Mazon Alonse,1959-12-17,1,True,4,108,
Edgar Hernandez Alvar,Edgar,Hernandez Alvar,0001-01-01,1,True,-1,192,
Iris Italia Peñalosa Gutierrez,Iris Italia,Peñalosa Gutierrez,0001-01-01,2,True,4,293,
Marco Antonio Villeda Salamanca,Marco Antonio,Villeda Salamanca,0001-01-01,1,True,4,192,
Sonia Sofia Galeana Lara,Sonia Sofia,Galeana Lara,0001-01-01,2,True,4,293,
Alejandrina Vargas Beltran,Alejandrina,Vargas Beltran,0001-01-01,2,True,5,108,
Kevin Jaret Ramirez Pilo,Kevin Jaret,Ramirez Pilo,0001-01-01,1,True,4,154,
Victor Manuel Jorrin Lozano,Victor Manuel,Jorrin Lozano,1955-01-13,1,True,4,192,
Pedro Guevara Trinidad,Pedro,Guevara Trinidad,0001-01-01,1,True,4,219,
Arizbeth Rodriguez Rivera,Arizbeth,Rodriguez Rivera,0001-01-01,2,True,4,242,
Alexander Campos Garcia,Alexander,Campos Garcia,1997-06-12,1,True,4,293,
Araceli Ocampo Manzanares,Araceli,Ocampo Manzanares,1972-10-15,2,True,4,108,
Pablo Amilcar Sandoval Ballesteros,Pablo Amilcar,Sandoval Ballesteros,0001-01-01,1,True,4,192,
Maria Del Rosario Merlin Garcia,Maria del Rosario,Merlin Garcia,1964-11-01,2,True,4,293,
