other_name_type,name,person_id
2,Checo Barrera,1036,
2,Zague,1038,
2,Mary Paez,1041,
2,Pepe Guerrero,1042,
2,Roy,1044,
2,El Mazeco,1045,
2,El Bofo Bautista,1047,
2,La Piloña,1048,
2,El Mueblero,1050,
2,El Homero,1052,
2,Pepe,1053,
2,Adan Alcantar,1060,
2,Pepe Valle,1064,
2,Martitha Romo,1069,
2,Adriana Buenrostro,1071,
2,Claudia,1073,
2,Arana,1074,
2,Andres Ramos,1075,
2,Vero,1083,
2,Enrique Aubry,1085,
2,Jair,1093,
2,Gaby,1104,
2,Marquitos,1106,
2,El Hermano,1107,
2,Jonathan Barajas,1110,
2,Goyco,1111,
2,Pepe Toño Garcia,1116,
2,Ivan Rodriguez,1118,
2,Magy,1119,
2,Dr Martin Rosales,1120,
2,Cecilia Barbero,1121,
2,Elvia,1126,
2,Maribel,1138,
2,Gaby Goldsmith,1142,
2,El Che,1144,
2,Cuacos,1149,
2,Cheo,1155,
2,Rey O Eynis,1156,
2,Eli,1158,
2,Nohemi,1161,
2,Güero,1162,
2,Jorge,1164,
2,Magnolia,1165,
2,Toño,1169,
2,Nena,1172,
2,Jose Luis,1183,
2,Lic. Centeno,1184,
2,Guido,1189,
2,Herssael Garcia,1190,
2,La Guera,1195,
2,El Cachorro,1217,
2,Ely,1221,
2,Tanya Vazquez,1226,
2,Chuma,1236,
2,Javier,1238,
2,Dave,1243,
2,Doctora,1244,
2,Mario Mario
Serrano,1248,
2,Jossu,1250,
2,Jacqueline,1252,
2,Lic. Arias,1254,
2,Lib Quiroz,1255,
2,Carmen Hamdan,1258,
2,Sandy,1260,
2,Kike Moreno,1265,
2,Dr. Abraham,1275,
2,Joanna F. Torres,1278,
2,Pato Sosa,1279,
2,Marquito,1282,
2,Chavez,1283,
2,Profesor Hector
Serna Valdez,1284,
2,Pepe,1285,
2,Rene Katusco,1288,
2,Adri Monroy,1290,
2,Tere Castell,1291,
2,Mary Ramirez,1292,
2,Profe Vargas,1294,
2,Xochitl Zagal,1295,
2,Boris,1297,
2,Dioni,1298,
2,Maru,1300,
2,Dr Favela,1301,
2,Guadalupe Roman,1303,
2,El Tornillo,1310,
2,Vicente Onofre,1312,
2,Javier,1313,
2,General,1320,
2,Niño,1327,
2,Bella Ferragamo,1330,
2,El Ruedas,1339,
2,Andrea Bataz,1349,
2,Vane,1354,
2,Zetina,1355,
2,La Conta,1356,
2,Tete,1375,
2,Mitzi,1376,
2,Lupita Godinez,1377,
2,Betty Millan,1378,
2,Maru,1381,
